Gene_A	Gene_B	correlation
AT1G11960	AT1G30360	0.9950539912839703
AT1G01470	AT3G50970	0.9948490604582618
AT1G20440	AT1G20450	0.9940787123820217
AT1G09350	AT5G40390	0.9939075174136484
AT1G22770	AT5G61380	0.9935585433620214
AT1G65700	AT4G03430	0.9931694128807795
AT1G20440	AT2G42530	0.9924799163425095
AT1G10090	AT2G19450	0.9921816932352161
AT1G69870	AT2G19450	0.991761114999564
AT1G52690	AT3G17520	0.9916403104169531
AT1G03530	AT3G13940	0.9908302887559831
AT1G51400	AT3G08940	0.9904169515762732
AT1G20450	AT2G17840	0.9901049534189633
AT1G10090	AT1G47710	0.9895137072328402
AT1G18850	AT2G47990	0.9894977964261151
AT1G56300	AT5G61380	0.9893296621652601
AT1G52690	AT2G47770	0.9891338732877024
AT1G32560	AT1G52690	0.9885136504226838
AT1G03530	AT1G72320	0.9881371621119429
AT1G15440	AT3G21540	0.9879359294050809
AT1G10090	AT1G69870	0.9879175601648176
AT1G03130	AT3G08940	0.9876865748348586
AT1G03130	AT1G51400	0.9865811778518189
AT1G68010	AT2G21330	0.9865127203239923
AT1G18590	AT1G24100	0.9863099500263794
AT1G03530	AT3G21540	0.9862693715947625
AT4G25500	AT5G03240	0.9860278916582249
AT1G18590	AT4G39940	0.9856866824583191
AT1G31660	AT5G66540	0.9856321555539204
AT1G14360	AT3G23410	0.9855986112511657
AT1G31660	AT2G18900	0.9851612596367552
AT1G31660	AT4G25730	0.9848030790524197
AT1G03530	AT4G05410	0.9847556677337929
AT1G15440	AT5G52820	0.9842343834723766
AT1G30620	AT2G20370	0.9839608983439162
AT1G10490	AT5G41190	0.9839278854450589
AT1G15440	AT2G47990	0.9838580052929686
AT1G48920	AT2G47990	0.9838448848366099
AT1G31660	AT3G06530	0.9837407929279606
AT1G03530	AT3G57940	0.9835765846000039
AT1G47710	AT3G58570	0.9835157234208132
AT1G03130	AT1G52230	0.9835051356662147
AT1G74070	AT2G34620	0.9834450512303214
AT1G22770	AT5G03240	0.9834166966748115
AT1G30360	AT1G69870	0.9833050249700361
AT1G06780	AT5G11110	0.9832848840801567
AT1G25260	AT1G29940	0.9830562556131455
AT1G15440	AT1G18850	0.9828519362486297
AT1G56110	AT2G18900	0.9827233322551086
AT1G31660	AT3G18600	0.9824573201319576
AT1G20440	AT5G52310	0.9824483544746466
AT1G03530	AT2G37990	0.9820745255933623
AT1G31660	AT2G40360	0.9816821706503056
AT1G15440	AT3G10530	0.9812893114768633
AT1G03130	AT2G21330	0.9812617062707029
AT1G52690	AT3G02480	0.9811056714986014
AT1G72320	AT3G21540	0.9808780786464671
AT1G15440	AT3G57940	0.9808685934052125
AT1G10580	AT1G51510	0.9807970513593433
AT1G30520	AT1G60600	0.9807935393816396
AT1G20440	AT2G42540	0.9807829726316327
AT1G02870	AT1G31660	0.9804520839435564
AT1G15440	AT2G37990	0.9802126277289598
AT1G15440	AT4G02400	0.9801191133097523
AT1G03530	AT1G15440	0.9801084041709363
AT1G69870	AT4G04340	0.980058675092512
AT1G22770	AT2G25930	0.9798286851419005
AT1G77120	AT4G33070	0.9797091640304662
AT1G02870	AT1G04945	0.9796943153644089
AT1G74090	AT4G39940	0.9796268115809743
AT1G51400	AT1G68010	0.9796054721873527
AT1G11960	AT1G69870	0.979482195177284
AT1G20450	AT2G42540	0.9793895915990118
AT1G15440	AT4G05410	0.979271708273601
AT1G22270	AT2G37990	0.9792518689989643
AT1G72320	AT3G13940	0.9792506142791163
AT1G77120	AT5G54960	0.9792426290271803
AT1G18590	AT2G46650	0.9792264882166405
AT1G06380	AT4G28200	0.979030553726097
AT1G52230	AT1G76100	0.9790083174200398
AT1G02370	AT1G61640	0.9789826958781462
AT1G52230	AT5G23060	0.9789571328565997
AT1G29940	AT3G06530	0.9788716442058168
AT1G15440	AT5G15750	0.9788135168618434
AT1G15440	AT3G13940	0.9787822008294321
AT1G74090	AT3G58990	0.978456407216486
AT1G29940	AT3G56990	0.9782660313003527
AT1G15440	AT4G34910	0.9781264820563248
AT1G51400	AT1G52230	0.9778856276492434
AT1G75670	AT3G06530	0.9778578073166801
AT1G03130	AT3G59400	0.9772651098575248
AT1G72320	AT1G79150	0.9772095204804178
AT1G02870	AT1G79150	0.9770946277194259
AT1G52930	AT3G13230	0.9770944765108995
AT1G56110	AT5G38720	0.9770717370411655
AT1G72320	AT5G54910	0.9769845351193378
AT1G03530	AT3G10530	0.9766351686462019
AT1G75670	AT3G18600	0.9764032489715814
AT1G62430	AT5G07920	0.9762726707208157
AT1G72320	AT2G18220	0.9760927210865741
AT1G69070	AT3G18600	0.9760823933245695
AT1G72320	AT3G10530	0.976081076382312
AT1G23390	AT1G80440	0.9760159240555535
AT1G03530	AT5G54910	0.9759106478132806
AT1G31660	AT4G01560	0.9757681593627645
AT1G13560	AT4G15130	0.9757449064327985
AT1G29940	AT5G16750	0.9756839035105379
AT1G29940	AT5G15550	0.9756677407942831
AT1G07360	AT5G63120	0.9755825659188897
AT1G52230	AT2G21330	0.9755659482210532
AT1G12650	AT3G26410	0.9754914444558285
AT1G12650	AT3G01160	0.9754758587332468
AT1G06380	AT2G36930	0.9752609751098391
AT1G72320	AT2G37990	0.9752227761319883
AT1G29940	AT3G18600	0.9752190154736008
AT1G72320	AT5G08620	0.9751556848743858
AT1G02870	AT4G25730	0.9750994394847385
AT1G04945	AT5G22330	0.9748902491938999
AT1G51510	AT4G03430	0.9748417557842084
AT3G46970	AT5G03240	0.9748253227650406
AT1G73540	AT4G24570	0.9747167724831077
AT1G07360	AT2G17870	0.974629700446629
AT1G10490	AT5G38720	0.9744610629972134
AT1G13560	AT2G38670	0.974448037226091
AT1G06380	AT2G37990	0.9742688184209397
AT1G13740	AT4G26080	0.9742604444266816
AT1G03130	AT1G76100	0.9741892065884679
AT1G72320	AT4G28200	0.9740334022716237
AT1G72320	AT4G05410	0.974012547246231
AT1G68660	AT5G43850	0.9739382102034627
AT1G51510	AT1G65700	0.9737574714566354
AT1G03530	AT1G79150	0.9735788024577459
AT1G31660	AT1G75670	0.9734624187482326
AT1G10490	AT5G17270	0.9733454388459927
AT1G25260	AT5G48240	0.9732738241514987
AT1G25260	AT3G13230	0.9732220755358938
AT1G52230	AT3G21055	0.9729885508368458
AT1G02870	AT4G05410	0.9729810214996247
AT1G63780	AT2G44860	0.9727692233990112
AT1G20450	AT5G52310	0.9727664092375329
AT1G25260	AT3G06530	0.9727334065100983
AT1G31660	AT1G55900	0.9726321953511201
AT1G13160	AT2G17250	0.9726244493182062
AT1G34220	AT5G04170	0.9725615788804876
AT1G03130	AT1G68010	0.9724070710499788
AT1G64770	AT5G52100	0.9724050761207034
AT1G44446	AT3G59400	0.972388421170271
AT1G15440	AT2G18220	0.9723705715363159
AT1G72320	AT5G52820	0.9720850672274182
AT1G03530	AT2G45730	0.9719601217929158
AT1G15440	AT5G20600	0.9719477355344365
AT1G69070	AT3G15080	0.9719059590994163
AT1G29940	AT3G11964	0.971850413723477
AT1G12650	AT3G22660	0.9717669732033805
AT1G03530	AT4G23540	0.9717398553628075
AT1G63800	AT2G46030	0.971719361991101
AT1G07440	AT2G29310	0.9716938979133937
AT1G15420	AT4G22380	0.9716860403605645
AT1G75670	AT2G18900	0.9716457423481927
AT1G03530	AT2G18220	0.9716190409188953
AT1G69070	AT2G18900	0.971464618497789
AT1G25260	AT2G19540	0.9712994948650039
AT1G31660	AT3G16810	0.9712651423870071
AT1G10760	AT4G18240	0.971238348676027
AT1G15440	AT2G22400	0.9712252214502387
AT1G75670	AT4G01560	0.9712223666713253
AT1G15440	AT4G28200	0.9712117611622447
AT1G15420	AT3G58660	0.9711775030271012
AT1G06380	AT2G47990	0.9711280637626662
AT1G07360	AT3G01150	0.9711011423562941
AT1G56300	AT5G24470	0.9710256681034878
AT1G15440	AT4G04940	0.9709121251275121
AT1G70660	AT3G20060	0.9707907647790417
